ComplexID	Name	GeneList
1338	FOXO3-PCAF complex, oxidative stress stimulated	2309, 8850
1347	NPC subcomplex (NUP96, NUP107, NUP133, NUP160)	4928, 57122, 23279, 55746
1348	GLE1-NUPL2-NUP155 complex	11097, 9631, 2733
1352	ING4 complex (ING4, JADE1, KAT7, MEAF6)	11143, 79960, 64769, 51147
1372	Rb-tal-1-E2A-Lmo2-Ldb1 complex	5925, 6929, 6886, 4005, 8861
1377	hASC-1 complex	9325, 10973, 51008, 84164
1379	GALNS-lysosomal hydrolase 1.27 MDa complex	5476, 2720, 2588, 4758
1380	Elongator holo complex	8518, 55250, 26610, 55140
1386	TTP-AGO4 complex	7538, 192670
1387	TTP-AGO2 complex	7538, 27161
1399	WDR5-ASH2L-RBBP5-MLL2 complex	8085, 11091, 5929, 9070
1400	ASCOM complex	8085, 203068, 7277, 23054, 5929, 58508, 9070
1401	MOF complex	8085, 9739, 6872, 6878, 11091, 4297, 5929, 6880, 6045, 84148
1413	NCOR1 complex	8841, 9611, 6597, 6598, 10155, 23450, 10291, 10847, 6601, 6599
1439	PTGS2 homodimer complex	5743
1448	LIN2-LIN7-SAP97 complex	8825, 8573, 1739
1452	MCM2-MCM6-MCM7 complex	4176, 4171, 4175
1457	AFF1-MLLT1-CBX8 complex	4299, 4298, 57332
1458	SNF2h-HDAC12 complex	8467, 3066
1462	hPRC1L complex	648, 6015, 1912, 6045
1464	Mis12 centromere complex	11130, 23468, 11243, 25936, 79003, 79980
1473	E2F5-RBL2-TFDP1 complex	5934, 7027, 1875
1474	SMAD3/4-E2F4/5-p107-DP1 complex	5933, 4088, 4089, 7027, 1875, 1874
1488	DNMT1-RB1-HDAC1-E2F1 complex	5925, 1786, 1869, 3065
1490	DAXX-DNMT1-DMAP1 complex	1786, 55929, 1616
1491	RGS6-DNMT1-DMAP1 complex	1786, 9628, 55929
1492	BHC110 complex	23028, 7764, 3065, 23199, 9658, 3066, 51317, 10362, 7750, 23186
1495	PID complex	9219, 53615, 5928, 3065, 1108
1505	NCOR2 complex	8841, 9611, 8819, 3065, 3066, 25942, 9612
1508	BCL6-ZBTB17 complex	604, None
1514	IL4-IL4R complex	3565, 3566
1515	IL-2Rgamma/IL-4R receptor-IL-4 complex	3565, 3566, 3561
1519	IL6ST-PRKCD-STAT3 complex	3572, 6774, 5580
1520	STAT3-NLK-MAP3K7 complex	6885, 6774, None
1521	p300-SMAD1-STAT3 complex	6774, 2033, 4086
1522	STAT3 homodimer complex	6774
1530	Girdin homo-oligomer complex	55704
1539	G protein complex (GNG2, GNB2L1, RAF1)	5894, 54331, 10399
1543	PPP2CA-PPP2R1A complex	5518, 5515
1544	PPP2CA-PPP2R1A-PPP2R3A complex	5518, 5515, 5523
1551	IPO13-RAN-EIF1AX complex	9670, 1964, 5901
1552	TNPO2-RAN-NXF1 complex	30000, 5901, 10482
1554	KPNB1-RAN-RANBP1complex	5902, 5901, 3837
1557	NMI-POLR1B-RRN3 complex	9111, 84172, 54700
1558	POLR1B-RRN3 complex	84172, 54700
1559	NMI-RRN3 complex	9111, 54700
1561	NMI homodimer complex	9111
1571	Vigilin-DNA-PK-Ku antigen complex	2547, 7520, 5591, 3069
1612	G protein complex (GNAS, GNB1, GNG2)	54331, 2782, 2778
1614	G protein complex (GNB1, GNG2, MCF2)	4168, 54331, 2782
1615	G protein complex (BTK, GNG1, GNG2)	54331, 2782, 695
1617	G protein complex (CACNA1A, GNB1, GNG2)	773, 54331, 2782
1618	G protein complex (GNB1, GNG2, PTHR1)	54331, 2782, 5745
1619	G protein complex (HDAC5, GNB1, GNG2)	54331, 2782, 10014
1620	G protein complex (HDAC4, GNB1, GNG2)	9759, 54331, 2782
1623	FA core complex 1	2189, 2175, 2176, 2178, 2188
1624	FA core complex (Fanconi anemia core complex)	2189, 2175, 2176, 80233, 57697, 2187, 2178, 2188, 55120
1625	FA core complex (Fanconi anemia core complex)	2189, 2175, 2176, 57697, 2187, 2178, 2188
1633	CyclinD1-CDK4-CDK6 complex	1019, 595, 1021
1634	CyclinD1-CDK4-p21 complex	1019, 595, 1026
1642	p16-cyclin D2-CDK4 complex	1019, 894, 1029
1656	p27-cyclinE-CDK2 complex	898, 1017, 1027
1661	E2F4-p107-cyclinA complex	890, 5933, 1874
1695	SCAMP1-SCAMP2 complex	9522, 10066
1700	ABL2-HRAS-RIN1 complex	3265, 27, 9610
1703	IGHM-VPREB1-IGLL1 complex	3507, 7441, 3543
1707	IL2-IL2RA-IL2RB complex	3559, 3560, 3558
1714	TICAM1-TICAM2-TLR4 complex	7099, None, 148022
1728	CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex	None, 4000, 4869, 142, 3015, 7153, 10664, 3836, None
1729	TLE1 corepressor complex (MASH1 promoter-corepressor complex)	4869, 142, 4691, 3308, 4628, 60, 7155, 7088, 4841, 10111
1731	PRMT1 complex	3276
1734	SF3A1-SF3A2-SF3A3 complex	10946, 8175, 10291
1737	SF3b complex	23451, 10992, 23450, 10262, 84844, 11325, 83443, 51639
1743	(E.F.G) complex	6635, 6636, 6637
1745	SMN complex	8487, 6626, 6628, 50628, 6635, 6636, 6637, 6632, 6633, 6634, 6638, 25929, 79833, 79760, 11218
1746	SMN containing complex	8487, 3956, 3958, 50628, 6632, 6633, 6634, None
1749	SMN-PolII-RHA complex	8487, 6629, 6628, 6908, 5430, 50628, 6638, 2959, 1660, 11218
1750	PPP4C-PPP4R2-Gemin3-Gemin4 complex	50628, 5531, 151987, 11218
1751	SMN complex	8487, 6626, 6628, 50628, None, 25929, 79833, 79760, 11218, 11171
1752	SMN complex	8487, 50628, None, 25929, 79833, 79760, 11218
1760	TOP1-PSF-P54 complex	7150, 6421, 4841
1767	CPSF6-ITCH-NUDT21-POLR2A-UBAP2L complex	11051, 5430, 9898, 11052, 83737
1768	CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex	11051, 5430, 2130, 9898, 11052, 83737
1769	CPSF6-ITCH-NUDT21-POLR2A complex	11051, 5430, 11052, 83737
1772	MICB-KLRK1-HCST complex	22914, 4277, 10870
1773	ULBP3-KLRK1-HCST complex	22914, 79465, 10870
1774	MICA-KLRK1-HCST complex	22914, 100507436, 10870
1775	ULBP2-KLRK1-HCST complex	22914, 80328, 10870
1777	Ubiquitin E3 ligase (SMURF2, SMAD7) - TGF(beta)	4092, 7046, 7048, 64750
1779	TGF-beta-receptor-PAR6 complex	7046, 7048, 50855
1783	Ubiquitin E3 ligase (SMAD7, SMURF1) - TGFBR1	4092, 7046, 57154
1784	RNF11-SMURF2-STAMBP complex	10617, 64750, 26994
1787	Nogo-potassium channel complex	3737, 8506, 3736, 57142
1793	LINGO1-RTN4R-NGFR complex	4804, 84894, 65078
1794	SORT1-NGFR complex	4804, 6272
1795	SORT1-NGFR-NGFB complex	4803, 4804, 6272
1810	ITGA4-PXN-GIT1 complex	3676, 5829, 28964
1812	AXIN-MEKK4-CCD1 complex	8312, 85458, 4216
1813	MAD1L1 homodimer complex	8379
1814	MAD1L1-MAD2L1 complex	4085, 8379
1816	JUN-TCF4-CTNNB1 complex	3725, 6925, 1499
1826	SMAD3-HEF1-APC10-CDH1 complex	999, 4088, 4739, 10393
1827	PML-SMAD2/3-SARA complex	9372, 5371, 4088, 4087
1828	TGF-beta receptor I-Axin-SMAD3 complex	8312, 7046, 4088
1831	PIAS3-SMAD3-P300 complex	4088, 2033, 10401
1834	ITGAE-ITGB7-CDH1 complex	999, 3695, 3682
1844	APC-IQGAP1 complex	324, 8826
1845	APC-IQGAP1-CLIP-170 complex	324, 6249, 8826
1851	BUB1-BUB3 complex	699, 9184
1863	TSG101-VPS37B-VPS28 complex	7251, 79720, 51160
1890	ELK1-SRF-ELK4 complex	6722, 2002, 2005
1893	mTOR2 complex (MTOR, RICTOR, MLST8)	2475, 253260, 64223
1899	NTF4 homodimer complex	4909
1909	APC-DLG4 complex	324, 1742
1927	PKD2-PACS1 complex	5311, 55690
1932	NEK2-NEK11 complex	4751, 79858
1944	IRAK1-IRAK2 complex	3656, 3654
1945	IRAK1-IRAK3 complex	3654, 11213
1957	DAP12 signaling homodimer complex	7305
1970	BMP4-TWSG1 complex	652, 57045
1972	BMP4-BGN complex	652, 633
1976	MTNR1A homodimer complex	4543
1977	MTNR1B homodimer complex	4544
1982	CACY homodimer  complex	6277
1984	PEX14 homodimer complex	5195
1985	AIRE homodimer complex	326
1986	Endoglin homodimer complex	2022
1987	MYOM1 homodimer complex	8736
1989	BANF1 homodimer protein	8815
1990	PGRMC1-SCAP complex	10857, 22937
1991	PRMT2 homodimer complex	3275
1992	LEPR homodimer complex	3953
1993	SLC1A2 homotrimer complex	6506
2001	NOD1 homodimer complex	10392
2003	COX1 homodimer complex	5742
2004	C1D homodimer protein	10438
2005	PTPRA homodimer complex	5786
2007	PRNP homo-oligomer complex	5621
2010	AXL homodimer complex	558
2013	STAT5B homodimer complex	6777
2016	IL12A homodimer complex	3592
2019	IL12A-IL12B-IL12RB1 complex	3592, 3593, 3594
2020	IL12B-IL12RB1-IL12RB2 complex	3593, 3594, 3595
2021	IL12A-IL12B-IL12RB2 complex	3592, 3593, 3595
2023	STAT5A homodimer complex	6776
2026	IL-12RB1/B2 receptor-IL-12 complex, high-affinity	3592, 3593, 3594, 3595
2028	JAK2-IL12RB2 complex	3717, 3595
2029	BNIP2-ARHGAP8 complex	23779, 663
2051	MALT1 homo-oligomer complex	10892
2052	BCL10 homo-oligomer complex	8915
2053	BCL10-MALT1 complex	8915, 10892
2054	CASP8-FADD-MALT1-BCL10 complex	8915, 8772, 841, 10892
2055	CASP8-CHUK-IKBKB-MALT1-BCL10 complex	3551, 1147, 8915, 841, 10892
2073	TNFRSF11A-TRAF6-SRC complex	6714, 7189, 8792
2074	TRAF6 homo-oligomer complex	7189
2077	B-raf-MAP3K11 complex	4296, 6635
2084	NFKB1-NFKB2-REL-RELA-RELB complex	4790, 4791, 5971, 5970, 5966
2086	NFKB1-NFKB2-RELA-RELB complex	4790, 4791, 5971, 5970
2100	CHUK-IKBKB-MAP3K14 complex	3551, 1147, 9020
2101	CHUK-IKBKB complex	3551, 1147
2104	IKBKB-MAP3K14 complex	3551, 9020
2105	IkappaB kinase complex (IKBKB, CHUK, IKBKAP, NFKBIA, RELA, MAP3K14)	3551, 1147, 8518, 4792, 5970, 9020
2112	CDC37-HSP90AA1-HSP90AB1-MAP3K11 complex	3320, 3326, 11140, 4296
2118	CHUK-ERC1-IKBKB-IKBKG complex	3551, 1147, 23085, 8517
2123	IKBKG homodimer complex	8517
2124	CHUK-ESR1-NCOA3 complex	1147, 2099, 8202
2129	DNAJB2-HSPA8-PSMA3 complex	3312, 3300, 5684
2143	MAP2K5-PRKCI-SQSTM1 complex	5584, 5607, 8878
2145	HSF1-YWHAE complex	7531, 3297
2152	ARNT-HLF complex	405, 3131
2153	ITGAM-ITGB2-CD11 complex	3689, 967, 3684
2156	YBX1-AKT1 complex	207, 4904
2159	AR-AKT-APPL complex	367, 207, 26060
2160	AOF2-AR complex	23028, 367
2162	APPBP1-UBA3 complex	8883, 9039
2170	Ubiquitin E3 ligase (CDC34, CUL1, RBX1)	997, 9978, 8454
2171	Ubiquitin E3 ligase (CHEK1, CUL4A)	1111, 8451
2172	Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)	9978, 8451, 1642, 81620
2174	COP9 signalosome complex	9318, 2873, 10980, 10987, 10920, 51138, 50813, 8533
2179	CNS-P53 complex	7157, 9318, 2873, 10980, 10987, 10920, 51138, 50813, 8533
2183	KAISO-NCOR complex	8841, 6907, 9682, 9611, 3832, 2874, 10009, 7464, 79718, 51592
2188	Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)	9978, 6500, 8454, 4738, 8945
2189	Ubiquitin E3 ligase (SMAD3, BTRC, CUL1, SKP1A, RBX1)	9978, 6500, 4088, 8454, 8945
2191	Ubiquitin E3 ligase (FBXO18, SKP1A, CUL1, RBX1)	9978, 6500, 8454, 84893
2192	Ubiquitin E3 ligase (NIPA, SKP1A, CUL1, RBX1)	9978, 6500, 8454, 51530
2196	9-1-1-LIG1 complex	5810, 3364, 3978, 5883
2197	9-1-1-FEN1 complex	5810, 3364, 2237, 5883
2198	9-1-1-POLB complex	5810, 3364, 5423, 5883
2199	CHTF18-RFC2-5 complex	5984, 5982, 5985, 5983, 63922
2200	RFC2-5 subcomplex	5984, 5982, 5985, 5983
2201	PCNA-RFC2-5 complex	5111, 5984, 5982, 5985, 5983
2203	BRD4-RFC complex	23476, 5984, 5982, 5981, 5985, 5983
2204	MCM8-ORC2-CDC6 complex	4999, 990, 84515
2205	ORC5-ORC1 complex	5001, 4998
2210	BRCA1-IRIS-pre-replication complex	51053, 672, 4998, 990
2211	BARD1-BRCA1-CSTF complex	1478, 672, 1477, 1479, 580
2213	BRCA1-BARD1-POLR2A complex	5430, 672, 580
2214	LMO4-BRCA1-CTIP-LDB1 complex	672, 8543, 8861, 5932
2215	BRCA1-LMO4-CTIP complex	672, 8543, 5932
2217	MDC1-MRN-ATM-FANCD2 complex	4683, 4361, 472, 9656, 10111, 2177
2218	MDC1-MRE11-RAD50-NBS1 complex	4683, 4361, 9656, 10111
2219	TERF1 homodimer complex	7013
2220	RAD52-ERCC4-ERCC1 complex	2067, 5893, 2072
2223	BLM-TOP3A complex	641, 7156
2224	MSH2/6-BLM-p53-RAD51 complex	7157, 4436, 2956, 641, 5888
2226	MutS-alpha-PK-zeta complex	4436, 2956, 5590
2228	BLM-RAD51L3-XRCC2 complex	7516, 5892, 641
2231	PCNA homotrimer complex	5111
2233	Replication-coupled CAF-1-MBD1-ETDB1 complex	10036, 9869, 4152
2235	ASF1-interacting protein complex	7290, None, 10036, 8208, 55723, 25842
2236	ASF1-histone containing complex	11200, 4678, 6767, None, 8208, 55723, 25842
2237	SP1-MCAF2 complex	6667, 80063
2238	MBD1-MCAF1-SETDB1 complex	9869, 55729, 4152
2241	HTT-OPTN-RAB8A complex	3064, 4218, 10133
2242	TGM2-HD-CALM1 complex	801, 7052, 3064
2243	TGM2-HD complex	7052, 3064
2254	CTGF/Hcs24-actin(beta/gamma) complex	1490, 60, 71
2255	Cofilin-actin-CAP1 complex	1072, 60, 10487
2256	RIAM-Rap1-GTP complex	5906, 54518
2258	VILIP-1-AChR-alpha-4-AChR-beta-2 complex	1141, 1137, 7447
2266	PPP3CA-PPP3CB-RCAN1 complex	5532, 1827, 5530
2272	PICK1-GRIP1-GLUR2 complex	2891, 9463, 23426
2294	ABI1-WASF2 complex	10006, 10163
2297	ABI1-WASL complex	8976, 10006
2307	AP3D1-AP3S2 complex	8943, 10239
2308	AP3D1-AP3S1 complex	8943, 1176
2318	ITGA6-ITGB4-Laminin10/12 complex	3911, 3912, 3915, 3691, 3655
2319	ITGA6-ITGB4-Laminin10/12 complex	3911, 3915, 3691, 3655, 3913
2320	ITGA6-ITGB4-CD151 complex	3691, 3655, 977
2321	ITGA6-ITGB4-FYN complex	2534, 3691, 3655
2322	ITGA6-ITGB4-LAMA5 complex	3911, 3691, 3655
2323	ITGA6-ITGB4 complex	3691, 3655
2342	ITGAV-ITGB8-MMP14-TGFB1 complex	7040, 3685, 3696, 4323
2343	ITGAV-ITGB5-PLAUR complex	3685, 3693, 5329
2345	ITGAV-ITGB5-ICAM4 complex	3685, 3693, 3386
2346	ITGAV-ITGB5-ADAM9 complex	3685, 3693, 8754
2347	ITGAV-ITGB5-SPP1 complex	3685, 6696, 3693
2348	ITGAV-ITGB5-CYR61 complex	3491, 3685, 3693
2350	ITGAV-ITGB5 complex	3685, 3693
2351	ITGB6-FYN-FN1 complex	2335, 2534, 3694
2352	ITGAV-ITGB6-SPP1 complex	3685, 6696, 3694
2353	ITGAV-ITGB6-TGFB3 complex	3685, 7043, 3694
2354	ITGAV-ITGB6 complex	3685, 3694
2355	ITGAV-ITGB3-CD47-FCER2 complex	3690, 2208, 3685, 961
2356	ITGB3-ITGAV-CD47 complex	3690, 3685, 961
2358	ITGAV-ITGB3-SPP1 complex	3690, 3685, 6696
2359	ITGAV-ITGB3-ADAM15 complex	3690, 3685, 8751
2362	ITAGV-ITGB3-F11R complex	3690, 3685, 50848
2363	ITGAV-ITGB3-PXN-PTK2b complex	3690, 3685, 5829, 2185
2364	ITGAV-ITGB3-ADAM23 complex	8745, 3690, 3685
2365	ITGAV-ITGB3-COL4A3 complex	3690, 3685, 1285
2366	ITGAV-ITGB3-PPAP2b complex	8613, 3690, 3685
2369	ITGAV-ITGB3-EGFR complex	1956, 3690, 3685
2370	ITGA2B-ITGB3-CD9 complex	3690, 3674, 928
2374	ITGAV-ITGB3-LAMA4 complex	3690, 3685, 3910
2375	FN1-TGM2 complex	2335, 7052
2376	ITGA2B-ITGB3-FN1-TGM2 complex	2335, 3690, 3674, 7052
2377	ITGA2b-ITGB3-CD47-SRC complex	3690, 3674, 6714, 961
2378	ITGA2b-ITGB3-TLN1 complex	3690, 3674, 7094
2379	ITGA2B-ITGB3-CIB1 complex	3690, 3674, 10519
2381	ITGA2B-ITGB3 complex	3690, 3674
2382	ITGA2B-ITGB3-F11R complex	3690, 3674, 50848
2383	ITGA5-ITGB1-FN1-TGM2 complex	2335, 3688, 3678, 7052
2384	ITGA5-ITGB1-ADAM15 complex	3688, 3678, 8751
2385	ITGA5-ITGB4 complex	3688, 3678
2390	CD98-ITGB1-LAT2 complex	3688, 6520, 23428
2395	ITGA7-ITGB1-CD151 complex	3688, 977, 3679
2396	ITGA7-ITGB1-CD9 complex	3688, 928, 3679
2397	ITGA7-ITGB1-ITGB1BP3 complex	3688, 3679, 27231
2398	ITGA3-ITGB1-BSG complex	3688, 3675, 682
2399	ITGA3-ITGB1-CD63 complex	3688, 967, 3675
2401	ITGA3-ITGB1-THBS1 complex	3688, 7057, 3675
2406	ITGA3-ITGB1 complex	3688, 3675
2411	ITGA6-ITGB1-CD151 complex	3688, 3655, 977
2413	ITGA6-ITGB1 complex	3688, 3655
2416	ITGB1-RAP1A-PKD1 complex	3688, 5906, 5310
2417	ITGA4-ITGB1-EMILIN1 complex	3688, 3676, 11117
2418	ITGA4-ITGB1 complex	3688, 3676
2419	ITGA4-ITGB1-CD81 complex	3688, 3676, 975
2420	ITGA4-ITGB1-CD53 complex	3688, 3676, 963
2421	ITGA4-ITGB1-VCAM1 complex	3688, 3676, 7412
2422	ITGA4-ITGB1-JAM2 complex	3688, 3676, 58494
2423	ITGA4-ITGB1-CD47 complex	3688, 3676, 961
2424	ITGA4-ITGB1-CD63 complex	3688, 967, 3676
2426	ITGA4-ITGB1-THBS1 complex	3688, 7057, 3676
2428	ITGA4-ITGB1-THBS2 complex	3688, 3676, 7058
2429	ITGA2-ITGB1-CD47 complex	3688, 3673, 961
2430	ITGA2-ITGB1-CHAD complex	1101, 3688, 3673
2431	ITGA2-ITGB1-COL6A3 complex	3688, 1293, 3673
2432	ITGA2-ITGB1 complex	3688, 3673
2434	ITGA1-ITGB1-COL6A3 complex	3688, 1293, 3672
2435	ITGA1-ITGB1-PTPN2 complex	3688, 5771, 3672
2436	ITGAV-ITGB1 complex	3688, 3685
2437	ITGA6-ITGB1-CYR61 complex	3491, 3688, 3655
2439	ITGA8-ITGB1 complex	3688, 8516
2440	ITGA9-ITGB1-ADAM9 complex	3688, 8754, 3680
2442	ITGA9-ITGB1-VCAM1 complex	3688, 7412, 3680
2443	ITGA9-ITGB1-TNC complex	3688, 3371, 3680
2444	ITGA9-ITGB1 complex	3688, 3680
2445	ITGA9-ITGB1-ADAM15 complex	3688, 8751, 3680
2446	ITGA9-ITGB1-FIGF complex	2277, 3688, 3680
2447	ITGA9-ITGB1-ADAM12 complex	8038, 3688, 3680
2453	Multiprotein complex (CBLB, EGFR, SH3KBP1)	1956, 868, 30011
2454	CBL-EGFR-SH3GL2-SH3KBP1 complex	1956, 867, 30011, 6456
2455	CIN85-SH3GL2 complex	30011, 6456
2456	MET-CIN85-SH3GL3-CBL complex, HGF stimulated	4233, 867, 30011, 6457
2457	CIN85-SH3GL3 complex	30011, 6457
2462	Caveolin-1 homodimer complex	857
2470	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	2099, 6714, 5295, 9564
2471	SRC-PRKCD-CDCP1 complex	6714, 5580, 64866
2476	CRK-CRKL-PDGFRA-RAPGEF1 complex	5156, 1398, 1399, 2889
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	867, 5295, 1398, 9564, 2885, 6654, 30011
2486	GIPC1-LHCGR complex	10755, 3973
2487	GIPC1-NTRK1-RGS19 complex	10755, 4914, 10287
2489	NCR3-CD247 complex	259197, 919
2510	CRKL-WAS-WIPF1-ZAP70 complex	7456, 7454, 7535, 1399
2511	CRKL-WAS-WIPF1 complex	7456, 7454, 1399
2513	N-WASp homomer complex	8976
2528	ERBB2-MEMO-SHC complex	2064, 6464, 51072
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	27040, 7409, 5335, 867, 5295, 2885, 3937
2534	Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated	867, 2885, 3937
2535	SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated	867, 6464, 2885, 3937
2536	PLC-gamma-2-SLP-76-Lyn-Grb2 complex	4067, 5336, 2885, 3937
2537	PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated	5336, 5578, 5337
2541	HGF-Met complex	4233, 3082
2542	EGFR-CBL-GRB2 complex	1956, 867, 2885
2547	PLC-gamma-1-SLP-76-SOS1-LAT complex	27040, 5335, 6654, 3937
2551	PDGFRA-PLC-gamma-1-PI3K-SHP-2 complex, PDGF stimulated	5156, 5335, 5295, 5781
2559	p56(LCK)-CAML complex	3932, 819
2563	FGFR2-c-Cbl-Lyn-Fyn complex	2534, 4067, 2263, 867
2564	p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated	2534, 7525, 4067, 5921
2565	CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)	3932, 2534, 4067, 931
2572	RAB5-EEA1 complex	5868, 8411
2573	Class C VPS/HOPS complex	5868, 8411, 23339, 64601, 55823, 57617
2574	CD19-VAV1-PIK3R1 complex	930, 7409, 5295
2577	Sam68-p85 P13K-IRS-1-IR signaling complex	3643, 5295, 3667, 10657
2578	Sam68-p120GAP complex	5921, 10657
2579	Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)	332, 9212, 3619
2580	Survivin homodimer complex	332
2581	RasGAP-AURKA-survivin complex	6790, 332, 5921
2582	Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)	332, 55143, 9212
2589	PGC-1-SRp40-SRp55-SRp75 complex	6429, 6430, 6431, 10891
2590	FOXO1-FHL2-SIRT1 complex	2308, 2274, 23411
2592	SIRT1 homotrimer complex	23411
2593	FOXO3-SIRT1 complex, oxidative stress stimulated	2309, 23411
2598	NELF complex	7936, 51497, 25920, 7469
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	904, 4691, 5430, 1025, 53981, 10891
2600	BRD4 complex	9282, 904, 23476, 9862, 1025, 5469, 9968, 9440
2601	P-TEFb-BRD4-TRAP220 complex	904, 23476, 1025, 5469
2604	P-TEFb-SKP2 complex	904, 1025, 6502
2605	CCNT1-GRN complex	904, 2896
2625	CDK8-MED6-PARP1 complex	10001, 142, 1024
2626	CCNC-CDK8-MED1-MED6-MED7 xcomplex	9443, 10001, 892, 1024, 5469
2628	CCNC-CDK3 complex	892, 1018
2638	HES1 promoter corepressor complex	5430, 1022, 3516, 2033, 6830, 1387
2639	HES1 promoter-Notch enhancer complex	904, 5430, 4851, 1024, 1022, 1025, 3516, 2033, 5469, 6830, 9794, 51763, 11198
2641	CREBBP-KAT2B-MYOD1 complex	4654, 1387, 8850
2642	SMAD1-P300 complex	2033, 4086
2649	MYC-DNMT3A-ZBTB17 complex	4609, None, 1788
2650	DNMT3B-DNMT3L complex	1789, 29947
2651	DNMT3L-DNMT3A complex	29947, 1788
2653	MYC-MAX-KAT2A-TRRAP complex	4609, 4149, 2648, 8295
2657	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	2099, 1022, 902, 4331, 9112, 3066
2670	Er-alpha-p53-hdm2 complex	2099, 7157, 4193
2678	FOXO3-TP53 complex, oxidative stress stimulated	2309, 7157
2679	p53-SP1 complex	7157, 6667
2681	p53 homotetramer complex	7157
2685	RNA polymerase II (RNAPII)	5433, 2963, 5432, 5434, 5430, 5431, 2962, 5438, 5437, 5439, 5440, 5435, 5436, 5441, 2959, 26015, 9150
2686	BRCA1-core RNA polymerase II complex	5433, 5432, 5434, 5430, 5431, 5438, 672, 5437, 5439, 5440, 5435, 5436, 5441
2688	CLDN1-MMP14 complex	9076, 4323
2692	SMAD3-SMAD4-cJun-cFos complex	2353, 3725, 4088, 4089
2693	NFAT-JUN-FOS DNA-protein complex	2353, 3725, 4773
2694	ERG-JUN-FOS DNA-protein complex	2353, 3725, 2078
2695	ETS2-FOS-JUN complex	2353, 3725, 2114
2699	ESR1-JUN-GRIP1 complex	2099, 3725, 23426
2700	ESR1-JUN complex	2099, 3725
2704	Ectodermin-SMAD4 complex	4089, 51592
2705	SMAD3-SMAD4-CTCF protein-DNA complex	10664, 4088, 4089
2706	SMAD3-SMAD4-SP1 complex	6667, 4088, 4089
2707	SMAD3-SMAD4-FOXO3-FOXG1 complex	2309, 2290, 4088, 4089
2708	SMAD3-SMAD4-cJUN complex	3725, 4088, 4089
2709	LRP1-MMP9-TIMP1 complex	7076, 4318, 4035
2711	Abeta(40/42) oligomer complex	351, 351
2714	Ubiquitin E3 ligase (CHEK1, CUL1)	1111, 8454
2715	Ubiquitin E3 ligase (CUL1/2/3, CSN1/8, RBX1, SKP1/2)	9978, 6500, 2873, 6502, 8454, 8453, 8452, 10920
2716	Elongator core complex	8518, 55250, 55140
2717	DDX58-TRIM25 complex	23586, 7706
2718	CDC20-MAD2 complex	991, 4085
2719	Casein kinase II-HMG1 complex	3146, 1459, 1460, 1457
2720	Casein kinase II (beta-dimer, alpha, alpha')	1459, 1460, 1457
2721	HCF-1 complex	9739, 8473, 23309, 8819, 3320, 6667, 3309, 3312, 3308, 3054, 11091, 5928, 3065, 5931, 3066, 25942, 64426, 9070
2723	ATM-NBN complex	4683, 472
2724	Ubiquitin E3 ligase (NFKBIA, BTRC, CUL1, SKP1A)	4792, 6500, 8454, 8945
2725	Ubiquitin E3 ligase (NFKBIA, FBXW11, CUL1, SKP1A)	4792, 6500, 8454, 23291
2726	PXN-ITGB5-PTK2 complex	3693, 5829, 5747
2727	SRC-3 complex	3551, 1147, 6738, 10499, 1387, 8517, 8202
2728	SRC-1 complex	6738, 10499, 8648, 1387
2730	Set1B complex	11091, 5929, 80335, 30827, 9070, 23067
2731	Set1A complex	9739, 11091, 5929, 80335, 30827, 9070
2734	APH1A-PSEN1-NCSTN complex	5663, 23385, 51107
2735	APH1A-PSEN2-NCSTN complex	5664, 23385, 51107
2736	TROY-NGR-LINGO1 complex	84894, 65078, 55504
2738	BLM complex II	6118, 6117, 6119, 641, 7156, 80010
2739	FA complex (Fanconi anemia complex)	2189, 2175, 6117, 641, 2176, 7156, 2187, 80010, 2178, 2188, 55120
2743	TRAF6-MALT1 complex	10892, 7189
2744	TRAF2-MALT1 complex	7186, 10892, 10892
2745	Ubiquitin ligase complex (BCL10, CARD11, MALT1, TRAF6)	8915, 84433, 10892, 7189
2749	SETDB1-containing HMTase complex	9869, 55729
2752	CARMA1-BCL10-MALT1 complex	8915, 84433, 10892
